id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	ablation study	0.8646	0.0584	2	148	248	19	2024.4211
2	absa	0.8932	0.4781	2	267	1357	97	2023.7835
3	absa task	1.1814	0.4421	2	143	411	27	2023.7037
4	access	-0.7392	-0.0463	1	145	257	21	2023.8571
5	account	-0.4792	-0.0989	1	210	412	29	2023.931
6	activity	-0.6673	-0.0528	1	233	458	37	2023.8649
7	adoption	-0.6513	-0.4465	1	164	294	25	2024.2
8	affective computing	0.0848	0.279	3	124	211	17	2023.4706
9	age	-0.783	0.3007	1	186	347	26	2024.0385
10	ambiguity	0.5676	-0.0981	2	127	187	15	2023.5333
11	anger	-0.3591	0.4461	1	131	187	12	2023.75
12	answer	0.8463	-0.654	2	139	382	32	2023.6875
13	anxiety	-0.7965	0.316	1	104	155	13	2023.6154
14	appearance	-1.2838	0.0004	1	90	177	14	2023.7857
15	art approach	0.6756	-0.1648	2	129	195	16	2023.8125
16	art baseline	0.7999	-0.1858	2	154	265	20	2024.15
17	art method	0.7953	0.0343	2	271	922	76	2023.6316
18	art model	0.8093	0.2737	2	203	476	34	2023.9412
19	art performance	1.0857	-0.135	2	196	521	40	2024.05
20	art result	0.7165	0.1513	2	113	187	16	2022.5
21	aspect	0.5376	0.3421	2	392	2976	229	2023.6856
22	aspect term	1.1727	0.4462	2	169	590	40	2023.625
23	aspect term extraction	0.9158	0.446	2	107	204	13	2023.6154
24	asr	0.0318	0.1949	3	86	115	10	2024
25	attack	-0.3878	0.0217	1	138	218	20	2024.4
26	attention mechanism	0.9653	0.1992	2	303	1523	113	2024.177
27	attitude	-0.607	0.1641	1	226	470	34	2023.8824
28	audience	-1.2355	-0.1294	1	131	280	18	2024.1111
29	audio	0.2062	0.4214	3	176	384	28	2023.7857
30	automatic speech recognition	0.058	0.1753	3	101	172	16	2023.5625
31	available dataset	0.3395	0.3787	3	107	148	10	2023.3
32	awareness	-0.794	0.142	1	187	371	29	2024.1379
33	baseline	0.732	0.0065	2	272	833	66	2024.1515
34	baseline method	1.0054	-0.0606	2	151	251	19	2023.7895
35	baseline model	0.6979	0.1096	2	242	696	55	2024.2545
36	behavior	-0.8157	-0.1898	1	307	1362	102	2024.1176
37	benchmark	0.6113	-0.3107	2	247	663	53	2024.0755
38	benchmark dataset	0.9777	0.0375	2	308	1532	110	2024.0818
39	benefit	-0.7957	-0.0496	1	202	409	33	2024.2121
40	better performance	0.8519	0.1317	2	116	196	16	2022.9375
41	biase	-0.4768	0.1561	1	166	238	16	2024.4375
42	bidirectional encoder representations	0.059	0.3868	3	132	216	19	2024.2105
43	bilstm	0.1671	0.5904	3	113	201	15	2024.2
44	blog	-0.3099	0.3175	1	94	148	10	2022.5
45	body	-0.9617	-0.1585	1	147	256	21	2024
46	brand	-1.3176	-0.1855	1	123	323	23	2024.3478
47	business	-0.8365	-0.2759	1	151	258	16	2023.625
48	challenging task	0.5293	-0.0501	2	163	268	21	2023.381
49	change	-0.2506	-0.2592	1	237	560	42	2024.119
50	channel	-0.7711	-0.2259	1	235	610	49	2024.2653
51	chapter	-0.4342	0.0221	1	139	204	20	2023.95
52	chatgpt	-0.5959	-0.3365	1	161	307	29	2024.1034
53	china	-0.9392	-0.2917	1	215	593	48	2023.875
54	choice	-0.5141	-0.2904	1	211	397	30	2023.8667
55	classifier	-0.1344	0.5375	3	232	582	49	2023.3061
56	cmu mosei	0.6609	0.4753	3	71	116	10	2024.1
57	cnn	0.3054	0.5507	3	195	416	31	2023.4194
58	code	0.6721	-0.0133	2	252	662	48	2024.1875
59	collaboration	-0.4744	0.059	1	188	324	23	2024.6522
60	comment	-0.5674	0.2981	1	279	770	53	2024.2264
61	commerce	-1.1992	-0.3866	1	163	525	39	2024.1795
62	communication	-0.42	0.2643	1	296	850	69	2023.913
63	community	-0.3912	0.1255	1	275	810	65	2024.0308
64	comparative analysis	-0.2868	0.2066	3	133	203	18	2024.5
65	competitive performance	1.0291	-0.2595	2	115	184	14	2024.5714
66	complex question	1.0229	-0.6427	2	69	143	10	2022.9
67	comprehensive analysis	-0.0632	-0.236	3	94	133	11	2024.7273
68	comprehensive experiment	0.9963	-0.0509	2	138	230	17	2024.3529
69	comprehensive overview	0.0775	-0.1469	3	86	118	11	2024
70	comprehensive review	-0.0167	0.0358	3	119	188	15	2023.9333
71	comprehensive survey	0.0836	0.0503	3	124	188	16	2023.8125
72	concern	-0.7173	0.0082	1	295	895	59	2024.0847
73	conflict	-0.4357	0.4238	1	173	253	18	2023.9444
74	constraint	0.596	-0.3831	2	217	481	37	2024.0541
75	construction	0.414	-0.5086	2	237	724	69	2024.029
76	consumer	-1.3093	-0.3804	1	188	833	67	2023.9552
77	consumer behavior	-1.146	-0.1659	1	102	166	10	2024.6
